econ_id,country_id,year,gdp_growth_rate (billions of us dollars),gdp (percent change),gdp_per_capita (us dollar per capita)
E1,MAR,2025,3.9,165.84,4400
E2,CHN,2025,4,19230,13690
E3,JPN,2025,0.6,4190,33960
E4,KOR,2025,1,1790,34640
E5,AUT,2025,-0.3,534.4,58190
E6,BEL,2025,0.8,684.86,57770
E7,DNK,2025,2.9,449.94,74970
E8,FIN,2025,1,303.95,54160
E9,FRA,2025,0.6,3210,46790
E10,DEU,2025,0,4740,55910
E11,ITA,2025,0.4,2420,41090
E12,POL,2025,3.2,979.96,26810
E13,SRB,2025,3.5,92.55,14170
E14,ESP,2025,2.5,1800,36190
E15,SWE,2025,1.9,620.3,58100
E16,CHE,2025,0.9,947.13,104900
E17,NLD,2025,1.4,1270,70480
E18,GBR,2025,1.1,3840,54950
E19,SAU,2025,3,1080,30100
E20,TUR,2025,2.7,1440,16710
E21,USA,2025,1.8,30510,89110
